ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010000075;orbiculus;;"395 / 641  (époque byzantine)";"E 26572; AC 606; PH 2403; G 300";"Département des Antiquités égyptiennes";;"non exposé";
cl010000076;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26575; AC 609; PH 1923; H 172";"Département des Antiquités égyptiennes";;"non exposé";
cl010000077;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26576; AC 610; PH 1924; H 173";"Département des Antiquités égyptiennes";;"non exposé";
cl010000078;clavus;;"395 / 641  (époque byzantine)";"E 26577; AC 611; PH 1925; H 174";"Département des Antiquités égyptiennes";;"non exposé";
cl010000079;"bande décorative d'habillement ; tabula";;"395 / 641  (époque byzantine)";"E 26578; H 175; AC 612; PH 1927";"Département des Antiquités égyptiennes";;"non exposé";
cl010000080;tabula;;"395 / 641  (époque byzantine)";"E 26579; AC 613; PH 1938; H 176";"Département des Antiquités égyptiennes";;"non exposé";
cl010000081;"perle prismatique";;"395 / 641 (?)  (époque byzantine [?])";"E 11000";"Département des Antiquités égyptiennes";;"non exposé";
cl010000082;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26598; AC 632; PH 2420; F 103";"Département des Antiquités égyptiennes";;"non exposé";
cl010000083;tabula;;"395 / 641  (époque byzantine)";"E 26599; AC 633; PH 1961; H 178";"Département des Antiquités égyptiennes";;"non exposé";
cl010000084;orbiculus;;"395 / 641  (époque byzantine)";"E 26600; AC 634; PH 1962; I 12";"Département des Antiquités égyptiennes";;"non exposé";
cl010000085;clavus;;"395 / 641  (époque byzantine)";"E 26601; AC 635; PH 1963; I 1";"Département des Antiquités égyptiennes";;"non exposé";
cl010000086;clavus;;"395 / 641  (époque byzantine)";"E 26602; AC 636; PH 1966; I 2";"Département des Antiquités égyptiennes";;"non exposé";
cl010000087;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26603; AC 637; PH 1968; I 3";"Département des Antiquités égyptiennes";;"non exposé";
cl010000088;clavus;;"395 / 641  (époque byzantine)";"E 26604; AC 638; PH 1969; I 13";"Département des Antiquités égyptiennes";;"non exposé";
cl010000089;clavus;;"395 / 641  (époque byzantine)";"E 26605; AC 639; PH 1975; I 5";"Département des Antiquités égyptiennes";;"non exposé";
cl010000090;clavus;;"395 / 641  (époque byzantine)";"E 26606; AC 640; PH 1978; I 6";"Département des Antiquités égyptiennes";;"non exposé";
cl010000091;clavus;;"395 / 641  (époque byzantine)";"E 26609; AC 643; PH 1991; I 11";"Département des Antiquités égyptiennes";;"non exposé";
cl010000092;"clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26610; AC 644; PH 1993; I 9";"Département des Antiquités égyptiennes";;"non exposé";
cl010000093;clavus;;"395 / 641  (époque byzantine)";"E 26613; AC 647; PH 1999";"Département des Antiquités égyptiennes";;"non exposé";
cl010000094;clavus;;"395 / 641  (époque byzantine)";"E 26614; AC 648; PH 2007; H 114";"Département des Antiquités égyptiennes";;"non exposé";
cl010000095;orbiculus;;"395 / 641  (époque byzantine)";"E 26615; AC 649; PH 2008; F 76 et F 77";"Département des Antiquités égyptiennes";;"non exposé";
cl010000096;"étui à kohol";;"-664 / 641 (?)  (Basse Époque)";"AF 6504";"Département des Antiquités égyptiennes";;"non exposé";
cl010000097;tabula;;"395 / 641  (époque byzantine)";"E 26580; AC 614; PH 1931; H 177";"Département des Antiquités égyptiennes";;"non exposé";
cl010000098;clavus;;"395 / 641  (époque byzantine)";"E 26582; AC 616; PH 1934; H 181";"Département des Antiquités égyptiennes";;"non exposé";
cl010000099;clavus;;"395 / 641  (époque byzantine)";"E 26583; AC 617; PH 2422; G 110";"Département des Antiquités égyptiennes";;"non exposé";
cl010000100;clavus;;"395 / 641  (époque byzantine)";"E 26584; AC 618; PH 2379; G 295";"Département des Antiquités égyptiennes";;"non exposé";
cl010000101;clavus;;"395 / 641  (époque byzantine)";"E 26585; AC 619; PH 2424; G 344";"Département des Antiquités égyptiennes";;"non exposé";
cl010000102;"tunique ; clavus ; tabula ; encolure";;"395 / 641  (époque byzantine)";"E 26586; AC 620; PH 1940; H 184";"Département des Antiquités égyptiennes";;"non exposé";
cl010000103;clavus;;"395 / 641  (époque byzantine)";"E 26587; AC 621; PH 2387; G 291";"Département des Antiquités égyptiennes";;"non exposé";
cl010000104;orbiculus;;"395 / 641  (époque byzantine)";"E 26588; AC 622; PH 2406; G 315";"Département des Antiquités égyptiennes";;"non exposé";
cl010000105;tabula;;"395 / 641  (époque byzantine)";"E 26589; AC 623; PH 1946; H 185";"Département des Antiquités égyptiennes";;"non exposé";
cl010000106;"clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26591; AC 625; PH 1948; H 188";"Département des Antiquités égyptiennes";;"non exposé";
cl010000107;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26592; AC 626; PH 1950; H 189";"Département des Antiquités égyptiennes";;"non exposé";
cl010000108;clavus;;"395 / 641  (époque byzantine)";"E 26593; AC 627; PH 1952; H 191";"Département des Antiquités égyptiennes";;"non exposé";
cl010000109;clavus;;"395 / 641  (époque byzantine)";"E 26596; AC 630; PH 1956; I 14";"Département des Antiquités égyptiennes";;"non exposé";
cl010000110;"clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26597; AC 631; PH 1957; H 195";"Département des Antiquités égyptiennes";;"non exposé";
cl010000111;"tunique ; orbiculus";;"395 / 641  (époque byzantine)";"E 26616; AC 650; PH 2009; I 4";"Département des Antiquités égyptiennes";;"non exposé";
cl010000112;châle;;"395 / 641  (époque byzantine)";"E 26618; AC 652; PH 2054; PH 2001";"Département des Antiquités égyptiennes";;"non exposé";
cl010000113;orbiculus;;"395 / 641  (époque byzantine)";"E 26504; AC 538; PH 2398; F 100";"Département des Antiquités égyptiennes";;"non exposé";
cl010000114;"décor de textile";;"395 / 641  (époque byzantine)";"E 26505; AC 539; PH 1693; H 101";"Département des Antiquités égyptiennes";;"non exposé";
cl010000115;orbiculus;;"395 / 641  (époque byzantine)";"E 26506; AC 540; PH 2414; G 313";"Département des Antiquités égyptiennes";;"non exposé";
cl010000116;clavus;;"395 / 641  (époque byzantine)";"E 26507; AC 541; PH 1696; H 115";"Département des Antiquités égyptiennes";;"non exposé";
cl010000117;tabula;;"395 / 641  (époque byzantine)";"E 26512; AC 546; PH 1711; H 179";"Département des Antiquités égyptiennes";;"non exposé";
cl010000118;clavus;;"395 / 641  (époque byzantine)";"E 26513; AC 547; PH 1713; H 118";"Département des Antiquités égyptiennes";;"non exposé";
cl010000119;tabula;;"395 / 641  (époque byzantine)";"E 26514; AC 548; PH 1714; H 119";"Département des Antiquités égyptiennes";;"non exposé";
cl010000120;clavus;;"395 / 641  (époque byzantine)";"E 26515; AC 549; TC 2412; G 357";"Département des Antiquités égyptiennes";;"non exposé";
cl010000121;clavus;;"395 / 641  (époque byzantine)";"E 26516; AC 550; PH 2433; F 95";"Département des Antiquités égyptiennes";;"non exposé";
cl010000122;orbiculus;;"395 / 641  (époque byzantine)";"E 26519; AC 553; PH 2409; G 310";"Département des Antiquités égyptiennes";;"non exposé";
cl010000124;clavus;;"395 / 641  (époque byzantine)";"E 26393; AC 427; PH 1255; G 219";"Département des Antiquités égyptiennes";;"non exposé";
cl010000125;clavus;;"395 / 641  (époque byzantine)";"E 26394; AC 428; PH 1258; G 217";"Département des Antiquités égyptiennes";;"non exposé";
cl010000126;clavus;;"395 / 641  (époque byzantine)";"E 26395; AC 429; PH 2383; G 293";"Département des Antiquités égyptiennes";;"non exposé";
cl010000127;"tunique ; clavus";;"395 / 641  (époque byzantine)";"E 26397; AC 431; PH 1261; G 289";"Département des Antiquités égyptiennes";;"non exposé";
cl010000128;clavus;;"395 / 641  (époque byzantine)";"E 26398; AC 432; PH 1262; G 226";"Département des Antiquités égyptiennes";;"non exposé";
cl010000129;clavus;;"395 / 641  (époque byzantine)";"E 26401; AC 435; PH 1269; G 282";"Département des Antiquités égyptiennes";;"non exposé";
cl010000130;clavus;;"395 / 641  (époque byzantine)";"E 26403; AC 437; PH 1271; G 202";"Département des Antiquités égyptiennes";;"non exposé";
cl010000131;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26407; AC 441; PH 1351; H 9";"Département des Antiquités égyptiennes";;"non exposé";
cl010000132;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26408; AC 442; PH 1352; H 10";"Département des Antiquités égyptiennes";;"non exposé";
cl010000133;clavus;;"395 / 641  (époque byzantine)";"E 26409; AC 443; PH 2441; G 288";"Département des Antiquités égyptiennes";;"non exposé";
cl010000134;clavus;;"395 / 641  (époque byzantine)";"E 26410; AC 444; PH 1354; H 11";"Département des Antiquités égyptiennes";;"non exposé";
cl010000135;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26411; AC 445; PH 1355; H 12";"Département des Antiquités égyptiennes";;"non exposé";
cl010000136;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26412; AC 446; PH 1356; H 13";"Département des Antiquités égyptiennes";;"non exposé";
cl010000137;orbiculus;;"395 / 641  (époque byzantine)";"E 26413; AC 447; PH 1357; H 14";"Département des Antiquités égyptiennes";;"non exposé";
cl010000138;orbiculus;;"395 / 641  (époque byzantine)";"E 26414; H 16; AC 448; PH 1360";"Département des Antiquités égyptiennes";;"non exposé";
cl010000139;orbiculus;;"395 / 641  (époque byzantine)";"E 26415; AC 449; PH 1361; H 17";"Département des Antiquités égyptiennes";;"non exposé";
cl010000140;tabula;;"395 / 641  (époque byzantine)";"E 26416; H 18; AC 450; PH 1363";"Département des Antiquités égyptiennes";;"non exposé";
cl010000141;orbiculus;;"395 / 641  (époque byzantine)";"E 26234; AC 268; PH 539; G 232";"Département des Antiquités égyptiennes";;"non exposé";
cl010000142;tunique;;"395 / 641  (époque byzantine)";"E 26238; AC 272; PH 558; F 204";"Département des Antiquités égyptiennes";;"non exposé";
cl010000143;tenture;;"395 / 641  (époque byzantine)";"E 26240; AC 274; PH 575; E 136";"Département des Antiquités égyptiennes";;"non exposé";
cl010000144;châle;;"395 / 641  (époque byzantine)";"E 26241; AC 275; PH 581; E 128";"Département des Antiquités égyptiennes";;"non exposé";
cl010000145;tenture;;"395 / 641  (époque byzantine)";"E 26242; AC 276; PH 582; E 135";"Département des Antiquités égyptiennes";;"non exposé";
cl010000146;tenture;;"395 / 641  (époque byzantine)";"E 26243; AC 277; PH 583; E 91";"Département des Antiquités égyptiennes";;"non exposé";
cl010000147;châle;;"395 / 641  (époque byzantine)";"E 26245; AC 279; PH 594; E 157";"Département des Antiquités égyptiennes";;"non exposé";
cl010000148;châle;;"395 / 641  (époque byzantine)";"E 26246; AC 280; PH 599; E 160";"Département des Antiquités égyptiennes";;"non exposé";
cl010000149;châle;;"395 / 641  (époque byzantine)";"E 26247; AC 281; PH 596; E 163";"Département des Antiquités égyptiennes";;"non exposé";
cl010000150;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26250; AC 284; PH 661; G 111";"Département des Antiquités égyptiennes";;"non exposé";
cl010000151;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26251; AC 285; PH 662; G 112";"Département des Antiquités égyptiennes";;"non exposé";
cl010000152;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26252; AC 286; PH 663; G 113";"Département des Antiquités égyptiennes";;"non exposé";
cl010000153;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26254; AC 288; PH 665; G 117";"Département des Antiquités égyptiennes";;"non exposé";
cl010000154;"décor de textile";;"395 / 641  (époque byzantine)";"E 26256; AC 290; PH 671; G 115";"Département des Antiquités égyptiennes";;"non exposé";
cl010000155;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26257; AC 291; PH 677; G 79";"Département des Antiquités égyptiennes";;"non exposé";
cl010000156;orbiculus;;"395 / 641  (époque byzantine)";"E 26258; AC 292; PH 678; G 80";"Département des Antiquités égyptiennes";;"non exposé";
cl010000157;orbiculus;;"395 / 641  (époque byzantine)";"E 26259; AC 293; PH 680; F 78";"Département des Antiquités égyptiennes";;"non exposé";
cl010000158;orbiculus;;"395 / 641  (époque byzantine)";"E 26260; AC 294; PH 681; G 81";"Département des Antiquités égyptiennes";;"non exposé";
cl010000159;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26357; AC 391; PH 1157; G 210";"Département des Antiquités égyptiennes";;"non exposé";
cl010000160;clavus;;"395 / 641  (époque byzantine)";"E 26358; AC 392; PH 1163; G 211";"Département des Antiquités égyptiennes";;"non exposé";
cl010000161;"décor de textile";;"395 / 641  (époque byzantine)";"E 26359; AC 393; PH 212; G 212";"Département des Antiquités égyptiennes";;"non exposé";
cl010000162;tissu;;"395 / 641  (époque byzantine)";"E 26360; AC 394; PH 1167; G 213";"Département des Antiquités égyptiennes";;"non exposé";
cl010000163;tissu;;"395 / 641  (époque byzantine)";"E 26361; AC 395; PH 1168; G 214";"Département des Antiquités égyptiennes";;"non exposé";
cl010000164;clavus;;"395 / 641  (époque byzantine)";"E 26362; G 215; AC 396; PH 1169";"Département des Antiquités égyptiennes";;"non exposé";
cl010000165;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26341; AC 375; PH 1127; G 180";"Département des Antiquités égyptiennes";;"non exposé";
cl010000166;clavus;;"395 / 641  (époque byzantine)";"E 26342; AC 376; PH 1129; G 181";"Département des Antiquités égyptiennes";;"non exposé";
cl010000167;clavus;;"395 / 641  (époque byzantine)";"E 26343; G 183; AC 377; PH 1130";"Département des Antiquités égyptiennes";;"non exposé";
cl010000168;clavus;;"395 / 641  (époque byzantine)";"E 26344; AC 378; PH 1132; G 184";"Département des Antiquités égyptiennes";;"non exposé";
cl010000169;clavus;;"395 / 641  (époque byzantine)";"E 26345; AC 379; PH 1137; G 198";"Département des Antiquités égyptiennes";;"non exposé";
cl010000170;clavus;;"395 / 641  (époque byzantine)";"E 26346; AC 380; PH 1139; G 196";"Département des Antiquités égyptiennes";;"non exposé";
cl010000171;clavus;;"395 / 641  (époque byzantine)";"E 26347; AC 381; PH 1140; G 197";"Département des Antiquités égyptiennes";;"non exposé";
cl010000172;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26350; AC 384; PH 1146; G 200";"Département des Antiquités égyptiennes";;"non exposé";
cl010000173;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26351; AC 385; PH 1147; G 208";"Département des Antiquités égyptiennes";;"non exposé";
cl010000174;tabula;;"395 / 641  (époque byzantine)";"E 26190; AC 224; PH 353; F 218";"Département des Antiquités égyptiennes";;"non exposé";
cl010000175;orbiculus;;"395 / 641  (époque byzantine)";"E 26191; AC 225; PH 354; F 216";"Département des Antiquités égyptiennes";;"non exposé";
cl010000176;clavus;;"395 / 641  (époque byzantine)";"E 26192; AC 226; PH 356; G 106";"Département des Antiquités égyptiennes";;"non exposé";
cl010000177;"encolure ; clavus";;"395 / 641  (époque byzantine)";"E 26193; AC 227; PH 357; G 260";"Département des Antiquités égyptiennes";;"non exposé";
cl010000178;orbiculus;;"395 / 641  (époque byzantine)";"E 26200; AC 234; PH 374; F 217";"Département des Antiquités égyptiennes";;"non exposé";
cl010000179;clavus;;"395 / 641  (époque byzantine)";"E 26203; AC 237; PH 377; E 27";"Département des Antiquités égyptiennes";;"non exposé";
cl010000180;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26204; AC 238; PH 379; E 57";"Département des Antiquités égyptiennes";;"non exposé";
cl010000181;clavus;;"395 / 641  (époque byzantine)";"E 26206; AC 240; PH 406; F 5";"Département des Antiquités égyptiennes";;"non exposé";
cl010000182;clavus;;"395 / 641  (époque byzantine)";"E 26208; AC 242; PH 413; G 25";"Département des Antiquités égyptiennes";;"non exposé";
cl010000183;clavus;;"395 / 641  (époque byzantine)";"E 26209; AC 243; PH 415; E 90";"Département des Antiquités égyptiennes";;"non exposé";
cl010000184;"bande décorative d'habillement ; orbiculus";;"395 / 641  (époque byzantine)";"E 26210; AC 244; PH 418; H 1";"Département des Antiquités égyptiennes";;"non exposé";
cl010000185;"tunique ; clavus";;"395 / 641  (époque byzantine)";"E 26214; AC 248; PH 441; F 214";"Département des Antiquités égyptiennes";;"non exposé";
cl010000186;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26217; AC 251; PH 502; E 124";"Département des Antiquités égyptiennes";;"non exposé";
cl010000187;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26218; AC 252; PH 503; F 195";"Département des Antiquités égyptiennes";;"non exposé";
cl010000188;tunique;;"395 / 641  (époque byzantine)";"E 26219; F 189; AC 253; PH 504";"Département des Antiquités égyptiennes";;"non exposé";
cl010000189;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26220; AC 254; PH 513; F 25";"Département des Antiquités égyptiennes";;"non exposé";
cl010000190;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26221; AC 255; PH 514; F 26";"Département des Antiquités égyptiennes";;"non exposé";
cl010000191;tenture;;"395 / 641  (époque byzantine)";"E 26224; AC 258; PH 521; G 274";"Département des Antiquités égyptiennes";;"non exposé";
cl010000192;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26225; AC 259; PH 522; G 257";"Département des Antiquités égyptiennes";;"non exposé";
cl010000193;clavus;;"395 / 641  (époque byzantine)";"E 26226; AC 260; PH 525; G 277";"Département des Antiquités égyptiennes";;"non exposé";
cl010000194;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26227; AC 261; PH 527; G 278";"Département des Antiquités égyptiennes";;"non exposé";
cl010000195;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26228; AC 262; PH 528; G 279";"Département des Antiquités égyptiennes";;"non exposé";
cl010000196;clavus;;"395 / 641  (époque byzantine)";"E 26230; AC 264; PH 530; G 281";"Département des Antiquités égyptiennes";;"non exposé";
cl010000197;clavus;;"395 / 641  (époque byzantine)";"E 26231; AC 265; PH 531; G 273";"Département des Antiquités égyptiennes";;"non exposé";
cl010000198;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26232; AC 266; PH 535; G 230";"Département des Antiquités égyptiennes";;"non exposé";
cl010000199;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26233; AC 267; PH 536; G 231";"Département des Antiquités égyptiennes";;"non exposé";
cl010000200;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26363; AC 397; PH 1170; G 216";"Département des Antiquités égyptiennes";;"non exposé";
cl010000201;"épingle à cheveux ; calame ; bâtonnet";;"641 / 1952  (époque islamique)";"AF 1377";"Département des Antiquités égyptiennes";;"non exposé";
cl010000203;"épingle à cheveux";;"395 / 641  (époque byzantine)";"AF 917 bis";"Département des Antiquités égyptiennes";;"non exposé";
cl010000204;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26315; AC 349; PH 893; G 149";"Département des Antiquités égyptiennes";;"non exposé";
cl010000205;orbiculus;;"395 / 641  (époque byzantine)";"E 26317; AC 351; PH 897; F 53";"Département des Antiquités égyptiennes";;"non exposé";
cl010000206;clavus;;"395 / 641  (époque byzantine)";"E 26318; AC 352; PH 899; G 151";"Département des Antiquités égyptiennes";;"non exposé";
cl010000207;clavus;;"395 / 641  (époque byzantine)";"E 26319; AC 353; PH 900; G 156";"Département des Antiquités égyptiennes";;"non exposé";
cl010000208;orbiculus;;"395 / 641  (époque byzantine)";"E 26320; AC 354; PH 901; G 157";"Département des Antiquités égyptiennes";;"non exposé";
cl010000209;"décor de textile";;"395 / 641  (époque byzantine)";"E 26322; AC 356; PH 907; G 159";"Département des Antiquités égyptiennes";;"non exposé";
cl010000210;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26323; AC 357; PH 908; G 160";"Département des Antiquités égyptiennes";;"non exposé";
cl010000211;"tunique ; tabula ; bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26324; AC 358; PH 912; G 121";"Département des Antiquités égyptiennes";;"non exposé";
cl010000212;clavus;;"395 / 641  (époque byzantine)";"E 26325; AC 359; PH 914; G 122";"Département des Antiquités égyptiennes";;"non exposé";
cl010000213;orbiculus;;"395 / 641  (époque byzantine)";"E 26326; AC 360; PH 917; G 123";"Département des Antiquités égyptiennes";;"non exposé";
cl010000214;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26327; AC 361; PH 919; G 124";"Département des Antiquités égyptiennes";;"non exposé";
cl010000215;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26328; AC 362; PH 920; G 125";"Département des Antiquités égyptiennes";;"non exposé";
cl010000216;clavus;;"395 / 641  (époque byzantine)";"E 26329; AC 363; PH 922; G 126";"Département des Antiquités égyptiennes";;"non exposé";
